1 ; Grim Lavamancer ; Creature - Human Wizard 1/1 ; R ; Rare ; Michael Sutfin ;  Premium Deck Series: Fire and Lightning
55 ; Spitting Earth ; Sorcery ; 1R ; Special ; Michael Koelsch ;  Duel Decks: Elves vs. Goblins
56 ; Tarfire ; Tribal Instant ó Goblin ; R ; Special ; Omar Rayyan ;  Duel Decks: Elves vs. Goblins
57 ; Forgotten Cave ; Land ; ; Special ; Tony Szczudlo ;  Duel Decks: Elves vs. Goblins
58 ; Goblin Burrows ; Land ; ; Special ; David Martin ;  Duel Decks: Elves vs. Goblins
59 ; Mountain ; Basic Land ó Mountain ; ; Special ; David Day ;  Duel Decks: Elves vs. Goblins
60 ; Mountain ; Basic Land ó Mountain ; ; Special ; Jeff Miracola ;  Duel Decks: Elves vs. Goblins
61 ; Mountain ; Basic Land ó Mountain ; ; Special ; Rob Alexander ;  Duel Decks: Elves vs. Goblins
62 ; Mountain ; Basic Land ó Mountain ; ; Special ; Sam Wood ;  Duel Decks: Elves vs. Goblins
1 ; Banshee ; Summon Banshee 0/1 ; 2BB ; Uncommon (U3) ; Jesper Myrfors ;  Chronicles
2 ; Bog Rats ; Summon Rats 1/1 ; B ; Common (C3) ; Ron Spencer ;  Chronicles
3 ; Cuombajj Witches ; Summon Witches 1/3 ; BB ; Common (C3) ; Kaja Foglio ;  Chronicles
4 ; Fallen Angel ; Summon Angel 3/3 ; 3BB ; Uncommon (U3) ; Anson Maddocks ;  Chronicles
5 ; Giant Slug ; Summon Slug 1/1 ; 1B ; Common (U3) ; Anson Maddocks ;  Chronicles
6 ; Hasran Ogress ; Summon Ogre 3/2 ; BB ; Common (C3) ; Dan Frazier ;  Chronicles
7 ; Hell's Caretaker ; Summon Hell's Caretaker 1/1 ; 3B ; Rare (C3) ; Sandra Everingham ;  Chronicles
8 ; Shimian Night Stalker ; Summon Night Stalker 4/4 ; 3BB ; Uncommon (U1) ; Jesper Myrfors ;  Chronicles
9 ; Takklemaggot ; Enchant Creature ; 2BB ; Uncommon (U3) ; Daniel Gelon ;  Chronicles
10 ; The Fallen ; Summon Fallen 2/3 ; 1BBB ; Uncommon (U3) ; Jesper Myrfors ;  Chronicles
11 ; The Wretched ; Summon Wretched 2/5 ; 3BB ; Rare (C3) ; Christopher Rush ;  Chronicles
12 ; Transmutation ; Instant ; 1B ; Common (C3) ; Susan Van Camp ;  Chronicles
13 ; Wall of Shadows ; Summon Wall 0/1 ; 1BB ; Common (U1) ; Pete Venters ;  Chronicles
14 ; Yawgmoth Demon ; Summon Demon 6/6 ; 4BB ; Rare (U1) ; Sandra Everingham ;  Chronicles
15 ; Azure Drake ; Summon Drake 2/4 ; 3U ; Uncommon (U3) ; Dan Frazier ;  Chronicles
16 ; Boomerang ; Instant ; UU ; Common (C3) ; Brian Snoddy ;  Chronicles
17 ; Dance of Many ; Enchantment ; UU ; Rare (U1) ; Sandra Everingham ;  Chronicles
18 ; Dand‚n ; Summon Dand‚n 4/1 ; UU ; Common (C3) ; Drew Tucker ;  Chronicles
19 ; Enchantment Alteration ; Instant ; U ; Uncommon (U3) ; Brian Snoddy ;  Chronicles
20 ; Fishliver Oil ; Enchant Creature ; 1U ; Common (C3) ; Anson Maddocks ;  Chronicles
21 ; Flash Flood ; Instant ; U ; Common (C3) ; Tom W‰nerstrand ;  Chronicles
22 ; Juxtapose ; Sorcery ; 3U ; Rare (U1) ; Justin Hampton ;  Chronicles
23 ; Puppet Master ; Enchant Creature ; UUU ; Uncommon (U3) ; Sandra Everingham ;  Chronicles
24 ; Recall ; Sorcery ; XXU ; Uncommon (U3) ; Brian Snoddy ;  Chronicles
25 ; Remove Soul ; Interrupt ; 1U ; Common (C3) ; Brian Snoddy ;  Chronicles
26 ; Teleport ; Instant ; UUU ; Rare (U1) ; Douglas Shuler ;  Chronicles
27 ; Wall of Vapor ; Summon Wall 0/1 ; 3U ; Common (C3) ; Richard Thomas ;  Chronicles
28 ; Wall of Wonder ; Summon Wall 1/5 ; 2UU ; Uncommon (U3) ; Richard Thomas ;  Chronicles
29 ; Argothian Pixies ; Summon Faeries 2/1 ; 1G ; Common (C3) ; Amy Weber ;  Chronicles
30 ; Cat Warriors ; Summon Cat Warriors 2/2 ; 1GG ; Common (C3) ; Melissa Benson ;  Chronicles
31 ; Cocoon ; Enchant Creature ; G ; Uncommon (U3) ; Mark Tedin ;  Chronicles
32 ; Concordant Crossroads ; Enchant World ; G ; Rare (U1) ; Amy Weber ;  Chronicles
33 ; Craw Giant ; Summon Giant 6/4 ; 3GGGG ; Uncommon (U3) ; Christopher Rush ;  Chronicles
34 ; Cyclone ; Enchantment ; 2GG ; Rare (U1) ; Mark Tedin ;  Chronicles
35 ; Emerald Dragonfly ; Summon Dragonfly 1/1 ; 1G ; Common (C3) ; Quinton Hoover ;  Chronicles
36 ; Erhnam Djinn ; Summon Djinn 4/5 ; 3G ; Uncommon (U3) ; Ken Meyer, Jr. ;  Chronicles
37 ; Ghazb·n Ogre ; Summon Ogre 2/2 ; G ; Common (C3) ; Jesper Myrfors ;  Chronicles
38 ; Metamorphosis ; Sorcery ; G ; Common (C3) ; Christopher Rush ;  Chronicles
39 ; Rabid Wombat ; Summon Wombat 0/1 ; 2GG ; Uncommon (U3) ; Kaja Foglio ;  Chronicles
40 ; Revelation ; Enchant World ; G ; Rare (U1) ; Kaja Foglio ;  Chronicles
41 ; Scavenger Folk ; Summon Scavenger Folk 1/1 ; G ; Common (C3) ; Dennis Detwiller ;  Chronicles
42 ; Storm Seeker ; Instant ; 3G ; Uncommon (U3) ; Mark Poole ;  Chronicles
43 ; Active Volcano ; Instant ; R ; Common (C3) ; Justin Hampton ;  Chronicles
44 ; Aladdin ; Summon Aladdin 1/1 ; 2RR ; Rare (U1) ; Julie Baroh ;  Chronicles
45 ; Beasts of Bogardan ; Summon Beasts 3/3 ; 4R ; Uncommon (U3) ; Daniel Gelon ;  Chronicles
46 ; Blood Moon ; Enchantment ; 2R ; Rare (U1) ; Tom W‰nerstrand ;  Chronicles
47 ; Fire Drake ; Summon Drake 1/2 ; 1RR ; Uncommon (U3) ; Christopher Rush ;  Chronicles
48 ; Goblin Artisans ; Summon Goblins 1/1 ; R ; Uncommon (U3) ; Julie Baroh ;  Chronicles
49 ; Goblin Digging Team ; Summon Goblins 1/1 ; R ; Common (C3) ; Ron Spencer ;  Chronicles
50 ; Goblin Shrine ; Enchant Land ; 1RR ; Common (C3) ; Ron Spencer ;  Chronicles
51 ; Goblins of the Flarg ; Summon Goblins 1/1 ; R ; Common (C3) ; Tom W‰nerstrand ;  Chronicles
52 ; Land's Edge ; Enchant World ; 1RR ; Rare (U1) ; Brian Snoddy ;  Chronicles
53 ; Mountain Yeti ; Summon Yeti 3/3 ; 2RR ; Common (C3) ; Dan Frazier ;  Chronicles
54 ; Primordial Ooze ; Summon Ooze 1/1 ; R ; Uncommon (U3) ; Sandra Everingham ;  Chronicles
55 ; Wall of Heat ; Summon Wall 2/6 ; 2R ; Common (C3) ; Richard Thomas ;  Chronicles
56 ; Wall of Opposition ; Summon Wall 0/6 ; 3RR ; Uncommon (U3) ; Harold McNeill ;  Chronicles
57 ; Abu Ja'far ; Summon Leper 0/1 ; W ; Uncommon (U3) ; Ken Meyer, Jr. ;  Chronicles
58 ; Akron Legionnaire ; Summon Legionnaire 8/4 ; 6WW ; Rare (U1) ; Mark Poole ;  Chronicles
59 ; Angelic Voices ; Enchantment ; 2WW ; Rare (U1) ; Julie Baroh ;  Chronicles
60 ; Blood of the Martyr ; Instant ; WWW ; Uncommon (U3) ; Christopher Rush ;  Chronicles
61 ; D'Avenant Archer ; Summon Archer 1/2 ; 2W ; Common (C3) ; Douglas Shuler ;  Chronicles
62 ; Divine Offering ; Instant ; 1W ; Common (C3) ; Jeff A. Menges ;  Chronicles
63 ; Indestructible Aura ; Instant ; W ; Common (C3) ; Mark Poole ;  Chronicles
64 ; Ivory Guardians ; Summon Guardians 3/3 ; 4WW ; Uncommon (U3) ; Melissa Benson ;  Chronicles
65 ; Keepers of the Faith ; Summon Keepers 2/3 ; 1WW ; Common (C3) ; Daniel Gelon ;  Chronicles
66 ; Petra Sphinx ; Summon Sphinx 3/4 ; 2WWW ; Rare (U1) ; Sandra Everingham ;  Chronicles
67 ; Repentant Blacksmith ; Summon Smith 1/2 ; 1W ; Common (C3) ; Drew Tucker ;  Chronicles
68 ; Shield Wall ; Instant ; 1W ; Uncommon (U3) ; Douglas Shuler ;  Chronicles
69 ; War Elephant ; Summon Elephant 2/2 ; 3W ; Common (C3) ; Kristen Bishop ;  Chronicles
70 ; Witch Hunter ; Summon Hunter 1/1 ; 2WW ; Uncommon (U3) ; Jesper Myrfors ;  Chronicles
71 ; Arena of the Ancients ; Artifact ; 3 ; Rare (U1) ; Tom W‰nerstrand ;  Chronicles
72 ; Ashnod's Altar ; Artifact ; 3 ; Common (C2) ; Anson Maddocks ;  Chronicles
73 ; Ashnod's Transmogrant ; Artifact ; 1 ; Common (C2) ; Mark Tedin ;  Chronicles
74 ; Barl's Cage ; Artifact ; 4 ; Rare (U1) ; Tom W‰nerstrand ;  Chronicles
75 ; Book of Rass ; Artifact ; 6 ; Rare (U1) ; Sandra Everingham ;  Chronicles
76 ; Bronze Horse ; Artifact Creature 4/4 ; 7 ; Rare (U1) ; Mark Poole ;  Chronicles
77 ; Feldon's Cane ; Artifact ; 1 ; Common (C2) ; Mark Tedin ;  Chronicles
78 ; Fountain of Youth ; Artifact ; 0 ; Common (C2) ; Daniel Gelon ;  Chronicles
79 ; Gauntlets of Chaos ; Artifact ; 5 ; Rare (U1) ; Dan Frazier ;  Chronicles
80 ; Horn of Deafening ; Artifact ; 4 ; Rare (U1) ; Dan Frazier ;  Chronicles
81 ; Jalum Tome ; Artifact ; 3 ; Rare (U1) ; Tom W‰nerstrand ;  Chronicles
82 ; Jeweled Bird ; Artifact ; 1 ; Rare (U1) ; Amy Weber ;  Chronicles
83 ; Living Armor ; Artifact ; 4 ; Common (C2) ; Anson Maddocks ;  Chronicles
84 ; Obelisk of Undoing ; Artifact ; 1 ; Rare (U1) ; Tom W‰nerstrand ;  Chronicles
85 ; Rakalite ; Artifact ; 6 ; Rare (U1) ; Christopher Rush ;  Chronicles
86 ; Runesword ; Artifact ; 6 ; Common (C2) ; Christopher Rush ;  Chronicles
87 ; Sentinel ; Artifact Creature 1/1 ; 4 ; Rare (U1) ; Randy Asplund-Faith ;  Chronicles
88 ; Serpent Generator ; Artifact ; 6 ; Rare (U1) ; Mark Tedin ;  Chronicles
89 ; Tormod's Crypt ; Artifact ; 0 ; Common (C2) ; Christopher Rush ;  Chronicles
90 ; Triassic Egg ; Artifact ; 4 ; Rare (U1) ; Dan Frazier ;  Chronicles
91 ; Voodoo Doll ; Artifact ; 6 ; Rare (U1) ; Sandra Everingham ;  Chronicles
92 ; City of Brass ; Land ; ; Rare (U1) ; Mark Tedin ;  Chronicles
93 ; Safe Haven ; Land ; ; Rare (U1) ; Christopher Rush ;  Chronicles
94 ; Urza's Mine ; Land ; ; Common (C1) ; Anson Maddocks ;  Chronicles
95 ; Urza's Mine ; Land ; ; Common (C1) ; Anson Maddocks ;  Chronicles
96 ; Urza's Mine ; Land ; ; Common (C1) ; Anson Maddocks ;  Chronicles
97 ; Urza's Mine ; Land ; ; Common (C1) ; Anson Maddocks ;  Chronicles
98 ; Urza's Power Plant ; Land ; ; Common (C1) ; Mark Tedin ;  Chronicles
99 ; Urza's Power Plant ; Land ; ; Common (C1) ; Mark Tedin ;  Chronicles
100 ; Urza's Power Plant ; Land ; ; Common (C1) ; Mark Tedin ;  Chronicles
101 ; Urza's Power Plant ; Land ; ; Common (C1) ; Mark Tedin ;  Chronicles
102 ; Urza's Tower ; Land ; ; Common (C1) ; Mark Poole ;  Chronicles
103 ; Urza's Tower ; Land ; ; Common (C1) ; Mark Poole ;  Chronicles
104 ; Urza's Tower ; Land ; ; Common (C1) ; Mark Poole ;  Chronicles
105 ; Urza's Tower ; Land ; ; Common (C1) ; Mark Poole ;  Chronicles
106 ; Arcades Sabboth ; Summon Elder Dragon Legend 7/7 ; 2WWUUGG ; Rare (U1) ; Edward Beard, Jr. ;  Chronicles
107 ; Axelrod Gunnarson ; Summon Legend 5/5 ; 4BBRR ; Rare (U1) ; Scott Kirschner ;  Chronicles
108 ; Ayesha Tanaka ; Summon Legend 2/2 ; WWUU ; Rare (U1) ; Bryon Wackwitz ;  Chronicles
109 ; Chromium ; Summon Elder Dragon Legend 7/7 ; 2WWUUBB ; Rare (U1) ; Edward Beard, Jr. ;  Chronicles
110 ; Dakkon Blackblade ; Summon Legend */* ; 2WUUB ; Rare (U1) ; Richard Kane Ferguson ;  Chronicles
111 ; Gabriel Angelfire ; Summon Legend 4/4 ; 3WWGG ; Rare (U1) ; Daniel Gelon ;  Chronicles
112 ; Johan ; Summon Legend 5/4 ; 3WRG ; Rare (U1) ; Mark Tedin ;  Chronicles
113 ; Kei Takahashi ; Summon Legend 2/2 ; 2WG ; Uncommon (C1) ; Scott Kirschner ;  Chronicles
114 ; Marhault Elsdragon ; Summon Legend 4/6 ; 3RRG ; Uncommon (C1) ; Mark Poole ;  Chronicles
115 ; Nebuchadnezzar ; Summon Legend 3/3 ; 3UB ; Rare (U1) ; Richard Kane Ferguson ;  Chronicles
116 ; Nicol Bolas ; Summon Elder Dragon Legend 7/7 ; 2UUBBRR ; Rare (U1) ; Edward Beard, Jr. ;  Chronicles
117 ; Palladia-Mors ; Summon Elder Dragon Legend 7/7 ; 2WWRRGG ; Rare (U1) ; Edward Beard, Jr. ;  Chronicles
118 ; Rubinia Soulsinger ; Summon Legend 2/3 ; 2WUG ; Rare (U1) ; Rob Alexander ;  Chronicles
119 ; Sivitri Scarzam ; Summon Legend 6/4 ; 5UB ; Uncommon (C1) ; NÈNÈ Thomas ;  Chronicles
120 ; Sol'kanar the Swamp King ; Summon Legend 5/5 ; 2UBR ; Rare (U1) ; Richard Kane Ferguson ;  Chronicles
121 ; Stangg ; Summon Legend 3/4 ; 4RG ; Rare (U1) ; Mark Poole ;  Chronicles
122 ; Tobias Andrion ; Summon Legend 4/4 ; 3WU ; Uncommon (C1) ; Andi Rusu ;  Chronicles
123 ; Tor Wauki ; Summon Legend 3/3 ; 2BBR ; Uncommon (C1) ; Randy Asplund-Faith ;  Chronicles
124 ; Vaevictis Asmadi ; Summon Elder Dragon Legend 7/7 ; 2BBRRGG ; Rare (U1) ; Andi Rusu ;  Chronicles
125 ; Xira Arien ; Summon Legend 1/2 ; BRG ; Rare (U1) ; Melissa Benson ;  Chronicles
